Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_M_allocate(unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_Vector_impl::_Vector_impl()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_Vector_impl::~_Vector_impl()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_M_deallocate(MES::node*, unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_Vector_impl_data::_Vector_impl_data()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_Vector_base()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::~_Vector_base()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_M_allocate(unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_Vector_impl::_Vector_impl()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_Vector_impl::~_Vector_impl()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_Vector_impl_data::_Vector_impl_data()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_Vector_base()
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::~_Vector_base()
  0.00     40.77     0.00        1     0.00     0.00  std::__new_allocator<MES::node>::deallocate(MES::node*, unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::__new_allocator<MES::node>::allocate(unsigned long, void const*)
  0.00     40.77     0.00        1     0.00     0.00  std::__new_allocator<MES::element>::deallocate(MES::element*, unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::__new_allocator<MES::element>::allocate(unsigned long, void const*)
  0.00     40.77     0.00        1     0.00     0.00  std::_UninitDestroyGuard<MES::node*, void>::release()
  0.00     40.77     0.00        1     0.00     0.00  std::_UninitDestroyGuard<MES::node*, void>::_UninitDestroyGuard(MES::node*&)
  0.00     40.77     0.00        1     0.00     0.00  std::_UninitDestroyGuard<MES::node*, void>::~_UninitDestroyGuard()
  0.00     40.77     0.00        1     0.00     0.00  MES::node* std::__uninitialized_default_n_1<false>::__uninit_default_n<MES::node*, unsigned long>(MES::node*, unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::_S_relocate(MES::node*, MES::node*, MES::node*, std::allocator<MES::node>&)
